YEAR,fire_days,avg_max_temp,avg_wind_speed
1984,104,71.6,8.1
1985,85,69.5,7.7
1986,98,71.3,7.8
1987,102,69.8,8.0
1988,109,70.3,8.2
1989,96,70.9,7.6
1990,71,71.4,8.2
1991,47,69.5,7.2
1992,88,71.9,7.9
1993,79,71.3,8.3
1994,94,71.2,7.4
1995,106,70.3,6.9
1996,132,71.5,8.1
1997,103,72.3,8.0
1998,70,69.0,7.8
1999,128,69.5,7.3
2000,97,69.8,7.6
2001,108,68.1,7.4
2002,131,68.9,7.5
2003,114,70.1,7.3
2004,134,70.3,7.5
2005,140,70.1,7.4
2006,127,70.9,7.4
2007,156,69.2,6.8
2008,138,70.4,6.9
2009,134,69.6,6.7
2010,108,68.4,7.1
2011,145,68.6,6.8
2012,172,70.0,6.8
2013,151,70.8,6.7
2014,119,72.9,6.9
2015,141,72.7,7.0
2016,155,71.9,7.4
2017,197,72.4,7.5
2018,186,72.2,7.4
2019,153,70.9,7.6
2020,188,72.1,7.1
2021,173,69.6,7.3
2022,151,72.3,7.3
2023,141,69.3,7.5
2024,0,69.1,7.3
2025,0,68.2,6.0
